Name,What it does (technical),How it helps automated designs,Drawbacks,Plain-language explanation,Source,Recommend (0-100)
Influence Traceability Gate,Phase 5 self-validation: each influence has ≥2 specific Phase 1 observations supporting it; otherwise removed or merged,Prevents hallucinated influences (''Müller-Brockmann for any grid design'') and keeps dossier tethered to sample,Low bar for strong claims; some subtle real influences may show in only one observation,A detective rule — you can't name a suspect without at least two pieces of evidence,Inside: forge,67
Critical-Failure Score Cap,Any failed critical test caps the maximum score at 0.70 — applied before weighted score,Accessibility / structural failures become non-maskable — can't produce a beautiful doc that fails WCAG contrast,Uniform cap regardless of which critical test failed; may incentivize ''pass the test'' over genuine quality,Like a car inspection that fails the entire vehicle if the brakes don't work — no partial credit on safety,"Inside: brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",80
Frozen Hermetic Token Dict,All design tokens inlined as Python dicts with token_hash comment — hermetic between MCP fetches; same YAML always produces same HTML regardless of MCP availability,Reproducible builds across MCP server state; manifest hash documents provenance,Tokens go stale silently if design system updates; drift invisible until visual regression,"Like printing a brand style guide into every employee handbook rather than linking to the live intranet — always available, possibly out of date",Inside: ascent-renderer,62
Variant Token Inheritance,"Variant tokens are shallow copies overriding only differing keys: T_STILLNESS = { **T_RIDGELINE, ''variant'': ''stillness'', ''display_family'': ... }","Every color token, grid constant, and type scale inherited verbatim; guarantees cross-variant visual consistency on all non-display elements",Dict spread is shallow — any future mutable value added to base would be shared across variants,Like a CSS :root variable override — the child theme declares only what it changes; everything else inherits,"Inside: ascent-renderer, brad, design-variants, forge, ultimate-designer + outside research",84
Editorial Cascade Override,Variant-specific overrides applied via single trailing cascade block: append a CSS block at the end of <style> that wins all earlier rules,"Rather than branching through every CSS rule, one final block blanket-applies the variant — appears last and wins the cascade",Override is coarse — all listed elements get the same treatment with no per-element exception,Like a final ''house style'' memo that overrides every earlier instruction — one block at the end changes everything without rewriting the rules,"Inside: ascent-renderer, brad, design-variants + outside research",84
Minimal-Weights Font Loading,"--minimal-weights flag collapses 9-stop weight palette to {300, 400, 600} and rewrites the Google Fonts URL to load only those three weights",Reduces HTTP payload and font-load time — V1 ships faster without losing the core weight contrasts,"Subtle weight gradations (e.g., 650 for table footers) snap to 600 with noticeable change","Like telling a print shop to stock only three ink densities instead of ten — still prints, but subtle gradations are lost","Inside: ascent-renderer, brad + outside research",77
Hash-Keyed Atomic Manifest,"Brand manifest co-located with assets at {asset_dir}/.acos-ultimate-designer-manifest.yaml, keyed by sha256, atomic write via .tmp → rename",sha256 key makes re-scans idempotent (only new/changed files trigger re-analysis); atomic write makes parallel runs safe,Manifest stale if user renames/moves files; hidden file easy to accidentally delete,"Like a library card catalog in the same room as the books — move the collection, the index travels with it",Inside: ultimate-designer,67
Explicit Background Inheritance Chain,"section, article, header, footer, .card, .box, .panel { background-color: inherit } plus mandatory explicit background-color on every container element",Headless Chromium doesn't paint transparent backgrounds in print — transparent renders as white and bleeds through dark-paneled pages; the chain ensures dark colors propagate,Every div carries a redundant inline background-color; a missed element causes a visible artifact,Like requiring every actor on a dark stage to explicitly wear dark clothing — no one relies on stage lights handling their transparency,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, forge, ultimate-designer + outside research",82
Hardcoded Hex In Hero Footer,No CSS var() references in hero or footer background-color declarations — use literal hex (#465D53) not var(--sage-80) in structural elements,PDF and mobile artifact renderers may fail to resolve CSS variables before painting — hardcoded hex eliminates that failure mode for critical surfaces,Brand color change now requires updating both var() definition AND each hardcoded instance — slightly less maintainable,"Like writing ''three hundred and forty-two dollars'' in full on a check rather than just the numerals — redundant, but survives parsing","Inside: ascent-renderer, brad, design-variants, ultimate-designer",71
LaTeX Float Placement,LaTeX [htbp] global float optimization; CSS Paged Media float: top/float: bottom (WeasyPrint/Prince); Typst figure(placement: auto) — engine picks page placement,"When auto-generating multi-page PDFs with figures, you don't know which figure lands which page — the engine picks",Famously surprising — [h] rejected because rag is bad; figures drift far from reference,"Hand the engraver photos with ''stick each one where it looks nice, in this preference order'' instead of nailing each to a fixed page","Inside: ascent-renderer, brad, design-variants + outside research",81
H&J As Named Style Bundles,H&J (Quark/InDesign) is a named bundle of hyphenation + justification specs; modern: CSS custom properties + design tokens (Style Dictionary),Naming the H&J bundle and inheriting through paragraph styles was the original design token pattern — 25 years before the term,Inheritance order surprises (app default → project → style sheet → local),Teach the cook ''Tuscan seasoning'' once instead of dictating salt/pepper/oregano amounts every time,Inside: design-variants + outside research,79
Document Class As Cohesive Design,"LaTeX document classes (article, book, report) encapsulate page geometry + sectioning + default fonts + figure behaviors + bibliography as ONE decision","Modern auto-gen fragments this — one class equals one cohesive design, not a hundred independent knobs",Class lock-in — switching article → book mid-project breaks everything,"A pre-set oven program (Bread/Roast/Pizza) — one button, not eight dials",Outside (research),67
Variable Fonts Optical-Size Axis,OpenType Variable Fonts (2016) with weight/width/opsz axes; CSS font-variation-settings — body at 9pt slightly heavier opsz than same family at 36pt headline,"For density-controlled deliverables, optical-size axis is the biggest readability win — type adjusts stroke contrast to size",Knuth's lesson — exposing 60 parameters is impossible; variable fonts succeed because they expose 2-4 axes,"Instead of 12 cans of ''boldness paint,'' one dial from light to black, mixing in real time","Inside: ascent-renderer, brad, design-variants, forge + outside research",88
Semantic AST Bridge,"Maintain one semantic AST (Pandoc, MDX, Hugo goldmark); render to many physical formats — AST stores ''section heading level 2,'' not ''18pt bold''","Pipelines generating markdown → both PDF and PPTX should share AST stage, not re-render from rendered intermediate",Lossy round-trips between formats; extensions create dialects,"Translate a novel via a detailed plot outline, not by re-translating from the previous translation",Outside (research),68
Smart Text Reflow Pagination,CSS Paged Media auto-pagination (WeasyPrint/Prince/paged.js); LaTeX inherently — pages appear/disappear as content grows,Pipelines pre-computing ''this content needs N pages'' are brittle — content adds a paragraph and layout breaks. Threading is authoritative,Page count becomes non-deterministic — bad for ''report must be exactly 40 pages'' contracts,"A spiral notebook that grows pages when you write too much — content drives count, not the other way around",Inside: ascent-renderer + outside research,79
Right-Align Numbers Left-Align Text,td.num { text-align: right } plus tnum equals de-facto decimal alignment; headers should align with their column,"Trivial dtype-based rule; numbers line up at decimal point, text reads from left",Headers must align with their column type — easy to miss,Numbers line up at the decimal point like soldiers; text reads from left like a sentence,"Inside: ascent-renderer, brad, doc-design-qa, forge, ultimate-designer + outside research",82
Units In Header Not Cells,Header: ''Revenue (USD millions)''; cells: 42.1; auto-scale if max > 1e6 and stamp the unit in header,"''No smoking'' sign at the entrance, not on every chair — saves rendering ''$'' forty times",Mixed-currency tables can't use header-unit — need per-cell unit,"Put ''in dollars'' at the top of the column once, instead of writing ''$'' next to every number","Inside: ascent-renderer, brad + outside research",81
Light Zebra Striping,"tbody tr:nth-child(even) { background: #FAFAFA } — only when rows ≥ ~6, and 1-3% darker than white",Row-count check applies single CSS class; faint stripes help with row tracking,Tufte camp says no striping ever; NN/g research says light stripes help,"Faint stripes are bowling-alley lane lines — keep your eye on the row, whisper not shout",Outside (research),68
No Bold Vertical Borders In Tables,"table { border-collapse: collapse } td, th { border: none; padding: 6px 12px } — horizontal rules only; whitespace separates columns",One CSS rule replaces dozens of border declarations; padding does the work,Long text in adjacent columns can visually merge — enforce ≥8px padding,A table doesn't need a fence between every cell — padding separates columns like physical distance separates people in line,"Inside: ascent-renderer, design-variants + outside research",82
Semibold Header With Bottom Rule,thead th { font-weight: 600; border-bottom: 1px solid #333; padding-bottom: 6px } — no fill,Single styled thead rule everywhere; clean professional header,Brand kits may require fill — needs opt-out,A header doesn't need to shout — a neat underline says ''this is the heading'',"Inside: ascent-renderer, brad, design-variants, ultimate-designer + outside research",84
Total Row With Double-Rule,tr.total td { border-top: 1px solid #333; font-weight: 600 } and double-rule (border-top: 3px double) for grand totals — accounting convention,Generator knows which row it summed; double-rule signals grand total per accounting convention,Subtotal plus grand-total need their own hierarchy,The total row is the ''bottom line'' — earns a horizontal rule above it like a check earns a signature line,"Inside: ascent-renderer, brad + outside research",80
Table Footnotes Symbol-Anchored,.t-note { font-size: 0.75rem; font-style: italic; color: #555; margin-top: 6px } with <sup>1</sup> anchors; use ¹²³ symbols not asterisks,"Footnotes templated as (value, note_id) tuples; structured, scannable, conventional",Cap at 3 per table — more is unreadable,"Small print at the bottom of a contract — present, readable, quiet","Inside: brad, doc-design-qa + outside research",80
Sort By Significance,"df.sort_values(by=primary_metric, ascending=False); alphabetical only for lookups","If title contains ''by [metric],'' sort by it descending; data answers ''who's biggest'' by row order",Time-series must sort chronologically — needs override flag,"Alphabetical is for phone books — tables exist to answer ''who's biggest,'' so sort to the answer",Outside (research),72
Auto-Numeric Cell Classification,is_num(s) → True if s[0] in '$(' or s[0].isdigit() or s.endswith('%') or s.endswith('×'); right-align and apply tabular-nums automatically,All table cells default to tabular numerals; Python auto-classifies cells by inspecting first or last character — no column declarations in YAML,"Heuristic misclassifies ''N/A'', ''TBD'', ''3 bedrooms''; mixed cells (''$57M (est.)'') only checked at first char",A spreadsheet that auto-switches to accounting alignment when you type a dollar sign — numeric cells detected without explicit instruction,"Inside: ascent-renderer, ultimate-designer",65
Trailing-Empty Colspan,"_trailing_empty(row) counts blank cells at end; if last non-empty cell is followed by trailing empties, expand with colspan=''N+1''",YAML authors get spanning label rows just by leaving trailing columns empty — implicit table layout intelligence,Only trailing empties are spanned (interior empties render blank); behavior is opaque to YAML authors,Like a word processor that merges cells when adjacent ones are left blank — the author gets a span by omitting trailing values,"Inside: ascent-renderer, ultimate-designer + outside research",77
Dollar Auto-Abbreviation,"$57,000,000 → $57.0M; $1,200,000,000 → $1.2B; regex requires the value to be purely a dollar literal — anything else passes through unchanged",Raw dollar values from YAML automatically display-abbreviated in comparison cards and part-meta strips,Regex requires pure dollar literal — trailing qualifier (''$57M*'') passes through; one-decimal shows .0 for round millions,Like an Excel custom number format applied only to hero-number cells — a purpose-built formatter that activates in display contexts,Inside: ascent-renderer,62
Photo-Slot Tag System,"HTML attributes data-photo-slot=''hero,landscape,architectural,cover'' plus data-slot-id matched against brand-asset manifest semantic_tags by fill-photo-slots.py",Decouples layout authoring from image sourcing — a model generates a template specifying compositional intent without knowing the image file,Tag vocabulary is informal — mismatched tags cause silent non-matches that fall through to the API or striped placeholder,A magazine layout that marks each image frame with ''PHOTO: exterior shot of building at dusk'' — the photo editor fills it later,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, ultimate-designer + outside research",82
Photo-Slot Missing Guard,"[data-photo-slot]:empty:not([style*=''background-image''])::before { content: ''IMAGE MISSING''; background: repeating-linear-gradient(45deg, #ffcccc, ...) }",Self-documenting empty slots in QA without painting stripes over slots that already resolved,Breaks if 'background-image :' (space before colon) is produced — silent,"A picture hook that only shows ''NO PHOTO'' when there's no picture — once you hang something, the label disappears","Inside: ascent-renderer, design-variants, doc-design-qa, ultimate-designer + outside research",80
Content-Shape Template Classification,"classify_section(): metrics list → metric-grid; steps → timeline; portfolio → portfolio-grid; items[{name, description}] → product-detail; default → two-column-narrative","Users supply domain YAML, not template names — section with metrics: automatically becomes 3×3 KPI grid; zero template knowledge required",First-match wins; combination sections forced into one template; heavy fallback to two-column-narrative produces visually repetitive documents,A smart filing cabinet that reads the first line of each document and puts it in the right folder,"Inside: ascent-renderer, brad, doc-design-qa, ultimate-designer + outside research",82
Risk-Item Auto-Detection,"Look for regex ^R\\d+\\s+[—-] in item names; if any item matches, switch the entire list from compact items-grid to full-width risk-grid layout",Detection automatic from YAML naming convention; no separate schema flag,Detection is list-wide — one matching item switches all items; mixed lists not supported,Like a form that switches from single-line entries to paragraph boxes when it detects a long answer,Inside: ascent-renderer,62
Roman-Numeral Page Numbering,"All pages including cover, dividers, photo-breaks receive Roman numerals; footer: {{page_number_roman}} / {{total_pages_roman}}",Roman numerals signal ''designed object'' rather than utilitarian spreadsheet,40+ pages produce lengthy strings (''XLVII / CXII'') that overflow 11px footer cells,Like Roman numerals in a book's front matter — signals a designed object rather than a spreadsheet printout,"Inside: ascent-renderer, ultimate-designer + outside research",77
Metric Card Coral Top-Border,Each metric card: border-top: 3px solid var(--coral); hard-sliced to metrics[:9]; three-tier hierarchy mono-label (coral 11px caps) → display-data (48px Cormorant) → body-card-sm,Coral top-border provides visual separation in 3×3 grid without shadows that fight warm background; hierarchy hardcoded so KPI data renders in correct order,10+ metrics silently dropped with no warning; long value strings overflow at 48px,A scoreboard with 9 numbered slots — every stat gets identical treatment regardless of who is winning,"Inside: ascent-renderer, brad, doc-design-qa, ultimate-designer + outside research",81
Photo-Break Terminal Flush,"After section loop, unconditionally append a photo-break page if content_pages_since_photo > 0; separate from in-loop every-3-pages insertion",Documents whose section count isn't divisible by 3 would otherwise end with 1-2 content pages before closing — terminal flush ensures closing is always preceded by full-bleed photography,Short documents may get two consecutive photo pages,Like a magazine editor who always inserts a full-page photo before the back cover,"Inside: ascent-renderer, brad, design-variants, doc-design-qa, ultimate-designer + outside research",84
Card Left-Border Accent,".card { border-left: 3px solid #465D53 } — every card has a 3px sage left accent by default; on sage sections adapts to rgba(255,255,255,0.15)",Gives each card a strong left-edge visual anchor mimicking editorial pull-quote conventions; cards feel framed and intentional rather than floating boxes,No systematic rule for varying border color per card — leaves a decision point for the agent,"Like the colored tab on a file folder — every folder gets a tab automatically, telling you at a glance these are organized entries","Inside: ascent-renderer, brad, ultimate-designer + outside research",79
Authorship Attribution Block,"Hardcoded <div> below </footer> with inline style: background-color, padding, mono font, gray color, letter-spacing — containing author + lab + date",Ensures every generated document carries an institutional attribution distinguishing it from anonymous AI output,Date is hardcoded and goes stale; author hardcoded so unsuitable if skill is used by others; bypasses design token system,Like a printer's colophon at the back of a book — a small but mandatory production credit signaling professional production,Inside: brad,69
Clamp() On Display Font Sizes,"All display fonts use clamp(): h1 hero font-size: clamp(42px, 6vw, 80px); section title clamp(32px, 4vw, 52px); fixed px only for body and data numbers",Eliminates mobile overflow on large headlines automatically; agent uses display tokens without worrying about overflow at small viewports,clamp() does not break words — a very long single word can still overflow at the minimum,Auto-scaling text on a digital road sign — always fills available space up to a maximum but never shrinks below readable,"Inside: ascent-renderer, brad, doc-design-qa, forge, ultimate-designer + outside research",82
Em-Dash En-Dash Hyphen Vocabulary,"em-dash (—, U+2014) for parenthetical breaks (Chicago: no surrounding spaces; Penguin/UK: hair-spaces); en-dash (–, U+2013) for ranges (1995–2010, pp. 23–47); hyphen (-, U+002D) for compound modifiers (loan-to-value, well-known). Auto-gen pipelines normalize via SmartyPants/typographer preprocessor since Markdown emits only `-` and `--`.","Distinguishes thought-breaks from ranges from compounds — three different jobs, three different glyphs. A single correct em-dash signals competent typography; mixing them up signals machine output.",Locale conventions vary (Chicago closed em-dash vs Penguin/Oxford spaced); Markdown source must be normalized at render time; old fonts may lack en-dash glyph and substitute hyphen silently.,"Three dashes that look almost identical do three different jobs — long for thought-breaks, medium for ranges, short for compound words.",Outside (QA-gap-fill),68
Locale-Aware Quote Marks,"Set quote glyphs per locale: English curly “” ‘’, German „“ ‚‘, French « » ‹ ›, CJK 「」『』. Drive via `<html lang=""..."">` plus SmartyPants/typographer pass; CSS `q { quotes: ... }` per language.",Locale-correct quotes signal authored-not-generated output; reader trust climbs immediately on documents shipped into a localized market.,"Requires accurate lang attribute on every text root; code blocks and verbatim text must opt out (`<code>`, `<pre>`, `quotes: none`); machine translation often strips lang tags.","Every language has its own way of dressing quotes — German uses low-9 marks, French uses arrowheads — and a renderer that doesn't notice looks foreign.",Outside (QA-gap-fill),73
Decimal-Place Discipline,"Match displayed precision to source precision; never render more decimals than the source carries. Conventions: currency 2 dp, percentages 1-2 dp, ratios 1-2 dp, basis points 0 dp, unit counts 0 dp. Round half-to-even (banker's) for financial reports.",Prevents spurious-precision claims (4.327% when source said 4.3%); aligns auto-gen outputs with reconciliation-grade accounting practice.,Inconsistent rounding across cells creates totals that don't tie; downstream Excel reconciliation breaks if some cells round and others truncate.,If the source says 4.3% don't claim 4.327% — extra digits are unfunded confidence.,Outside (QA-gap-fill),62
Locale Number Formatting,"Comma vs dot decimal (1,234.56 US/UK vs 1.234,56 DE/IT); thousand separators (1 234 FR with non-breaking spaces U+00A0); negatives as parentheses (accounting) vs minus prefix (math/sci). Drive via `Intl.NumberFormat(locale, {...})` or locale-aware Jinja filter.",One locale switch flips every number in the document to the audience's convention without per-cell edits; eliminates a major class of cross-border misreading.,"Mixing within a single document (1,234.56 next to 1.234,56) confuses every reader; CSV/XLSX exports must carry their own locale or break when reopened in another locale's Excel.","Numbers are written differently in different countries — a German 1.234 means a thousand, not point-two-three-four — so pick a locale and stick to it.",Outside (QA-gap-fill),70
Currency Symbol Placement,"Pre-symbol no-space ($1,234.56) for USD/CAD/AUD/HKD; post-symbol with space (10 €, 1 234,56 €) for EUR in most EU locales; ISO 4217 three-letter code (USD 1,234.56) in international/multi-currency documents. Use non-breaking space between symbol/code and amount.",Locale-correct currency formatting prevents '€10' from looking machine-translated in a French document; ISO codes prevent ambiguity between $ (USD vs CAD vs AUD vs MXN).,Legacy fonts may lack € or ¥ glyphs and substitute boxes; mixed currencies in one table require either uniform ISO code or explicit per-row symbol — never silent mixing.,"Where the dollar sign sits depends on what country you're in — in front in America, after the number across most of Europe, and as a three-letter code in international finance.",Outside (QA-gap-fill),68
Footnote Symbol Hierarchy,"When numeric superscripts ¹²³ are unavailable or undesired (e.g. tables with numerals already), fall back to the classical sequence *, †, ‡, §, ¶, ‖, then doubled **, ††, ‡‡, §§. Reset numbering per page in books; continuous across whole document for articles/memos.",Provides a deterministic non-numeric footnote system that doesn't collide with table data; works on engines that can't render Unicode superscripts.,Cormorant Garamond and some display serifs lack ‡ and § glyphs and silently substitute; large numbers of footnotes per page exhaust the symbol set and force fallback to numbers anyway.,"When numbered footnotes don't fit a design, typographers fall back to a fixed sequence of marks — star, dagger, double-dagger, paragraph — like notes in a music piece.",Outside (QA-gap-fill),68
Border-Radius Convention,"Pick one radius token per design system: 0 for Swiss/modernist/editorial, 4px for IBM Carbon/business, 8px for friendly/consumer, 12-16px for playful, 9999px for pill buttons. Define `--radius` CSS custom property and reuse everywhere.",One token controls the whole document's emotional register; mixing radii is the most common amateur tell. Auto-gen pipelines that read the token produce internally consistent output.,Mixed radii in one composition (4px cards + 12px buttons) look unsettled; pill radius (9999px) breaks on tall containers; print engines may round-trip CSS through unsupported syntax.,"Sharp corners feel formal, rounded corners feel friendly — pick one mood and use it everywhere.",Outside (QA-gap-fill),68
Shadow/Elevation Tier System,"Material Design 6-tier elevation (0/1/2/3/4/6/8dp); each tier is a tuple of y-offset + blur + spread + alpha (e.g. dp=2 → 0 1px 2px rgba(0,0,0,0.12) + 0 1px 3px rgba(0,0,0,0.06)). Editorial print caps to ≤1 shadowed element per spread.",Tiered shadow tokens communicate layering hierarchy at a glance; auto-gen reads the tier and renders the right shadow tuple without per-component design work.,"Shadows render poorly in print PDFs (banding, dot-gain artefacts) — substitute with tint-overlay or hairline rule for print outputs; over-shadowing flattens hierarchy.",Each layer of paper above the desk catches more light — shadows tell you which thing is sitting on top of which.,Outside (QA-gap-fill),68
Logo Clear-Space Rule,"Reserve 0.5× to 1× of logo height as empty padding on all four sides; no other element (text, image, rule, edge of page) may enter that zone. Codified in brand guidelines via a measured 'X-unit' (often the height of the wordmark cap-height).",Auto-layout engines that respect clear-space produce logos that always look brand-correct; eliminates the cramped-logo-against-margin amateur look.,Narrow page margins (≤0.5in) leave no room to honor clear-space; long horizontal logos eat the line width; some brand systems use 2× clear-space which fights dense layouts.,"A logo needs personal space — keep other elements at least half its height away, like the elbow room between people in line.",Outside (QA-gap-fill),70
Logo Minimum-Size Floor,"Never render the logo below the brand's smallest tested size — typically 24-32px height for digital, 0.5in (~36pt) for print. Auto-gen must check pixel/inch dimensions and fall back to a monogram or favicon-style mark when below the floor.","Prevents the logo from smudging into illegibility on thumbnails, footers, and slide chrome; the fallback monogram preserves brand presence at small sizes.",Complex multi-color logos become illegible long before they hit the geometric floor; some brands lack a designed monogram fallback and must substitute uglier stand-ins.,"Below a certain size, your company's logo just looks like a smudge — set a minimum and substitute a simpler mark when there's no room.",Outside (QA-gap-fill),68
Heading Hierarchy Progression,"Never skip heading levels (h2 → h4 with no intermediate h3); cap visible depth at h4 in body documents, h3 in slide bodies; document outline (HTML5 outline algorithm) must be tree-shaped without leaps. Lint via `outline-checker` or axe-core.","Tree-shaped heading hierarchy is required for screen-reader navigation, table-of-contents generation, and PDF bookmark trees; auto-gen pipelines that respect it produce traversable documents for free.",Dense technical content sometimes legitimately needs h5/h6 — collapse via `<details>/<summary>` blocks or reset depth at chapter boundaries; rigid enforcement breaks reference material.,Headings are like file folder tabs — you can't have a sub-sub-folder without first having a sub-folder above it.,Outside (QA-gap-fill),68
Bullet Glyph Convention,Primary: • (U+2022 bullet). Secondary/nested: – (U+2013 en-dash) or ◦ (U+25E6 white bullet). Tertiary: ▪ (U+25AA black small square). Never render `*` or `-` as user-visible glyphs — those are Markdown source only; the renderer must substitute proper Unicode bullets.,Proper bullet glyphs signal designed output instead of raw Markdown leakage; one of the simplest single fixes that lifts auto-gen documents from draft to deliverable.,Bullet character must visually match the body font's weight and color tint; some condensed fonts render U+2022 too small and need a sized `::marker` selector; nested bullets need padding-left tuning.,"Bullets in a finished document use proper round dots, not the asterisks you typed in Markdown — like swapping shorthand for handwriting before mailing.",Outside (QA-gap-fill),68
Hanging-Indent List Markers,"ul, ol { list-style-position: outside; padding-left: 1.5em; } — bullets hang into the gutter while body text aligns flush to a single optical axis. Pair with `::marker` color/size tuning for refined appearance.",Outside markers create a single clean text axis even across multi-line bullets; auto-gen output reads as typeset rather than browser-default.,Deep nesting (3+ levels) compounds the gutter and pushes text off the right edge; narrow columns (<28em) leave no room for the hang.,A bullet should sit just outside the body text like a numbered tab on a binder — text below the bullet still lines up with the text above.,Outside (QA-gap-fill),68
Cover-Page Anatomy,"Six canonical slots: (1) client/recipient name, (2) document title, (3) subtitle or category, (4) prepared-by/firm + author, (5) date (full month name, no abbreviation: 'May 2026' not '5/26'), (6) confidentiality stamp + deal/project name. Optional 7th: logo lockup.","Templated slot system means auto-gen produces covers that look hand-laid every time; missing slots are caught at validation, not at delivery.","Missing slots (no client name, no date) look amateurish; extra slots (project number + version + revision + status) look cluttered — discipline is the design.",Every formal document cover has the same six things in the same six spots — like the standard credits at the start of a movie.,Outside (QA-gap-fill),70
Confidentiality Running Header,On every interior page (not the cover): `CONFIDENTIAL — Subject to NDA` or `PRIVILEGED & CONFIDENTIAL` set in small-caps or eyebrow style at the top-left or top-right. Implemented via `@page { @top-left { content: 'CONFIDENTIAL — Subject to NDA' } }` at 50% opacity in chrome color.,Auto-renders the legal flag on every page without per-page authoring; deal documents leaving the firm always carry the right marker.,Cluttered if combined with chapter eyebrow + page number in the same corner; Chromium ignores @top-* margin boxes (Prince/WeasyPrint/PagedJS only); too-loud opacity competes with content.,"Every interior page wears a quiet 'don't share this' badge at the top — like a building wristband, visible but not in your face.",Outside (QA-gap-fill),70
Diagonal Watermark Conventions,"DRAFT / CONFIDENTIAL / SAMPLE / PRELIMINARY: 45° rotation, large display weight (120-180pt typically), 6-10% opacity, centered on each page. Implement via fixed-position pseudo-element or @page background-image; never use rendered text behind content (selectable text leaks the stamp).","Single CSS rule stamps every page; visible enough to read at arm's length, faint enough not to fight the content; legal-defensible 'this is not final' signal.",Photo-heavy pages may swallow a 6% opacity stamp — bump to 10-12% for those spreads; selectable-text watermarks leak into copy-paste and search index; print engines vary on rotation handling.,The big diagonal DRAFT stamp across every page is at 45 degrees and faint enough to read through — like watermarked paper held up to a light.,Outside (QA-gap-fill),70
TOC Depth Cap,Default visible depth: h1 + h2 only. Include h3 when document length < 40 pages or section count < 20. Never show h4+ in the main TOC — use sub-TOCs at chapter starts (mini-TOC of that chapter's h3/h4) for navigation.,Caps TOC growth so it remains a navigation aid instead of becoming a parallel document; auto-gen pipelines reading the depth-cap produce scannable TOCs without manual pruning.,Reference material and legal documents legitimately need h3/h4 navigation; chapter-level sub-TOCs add authoring overhead; collapsible TOCs (PDF bookmarks) can carry the full depth even when print TOC is capped.,A table of contents shows the chapters and the main sections — sub-sub-sections would make it longer than the document itself.,Outside (QA-gap-fill),68
Appendix Pagination,"Appendix pages number as A-1, A-2, B-1, B-2 with letter prefix and en-dash; numbering resets at each appendix. Implemented via CSS `counter-reset: appendix-page` + `content: counter(appendix, upper-alpha) '-' counter(appendix-page)` per @page rule, or per-appendix page-style in Prince/PagedJS.",Adding or removing an appendix doesn't renumber the main body's page references; cross-references to 'A-3' stay stable across revisions; standard convention in legal exhibits and engineering reports.,"Cross-references (TOC, see-page-X) must use the prefixed form and update when appendix order changes; non-paged-media engines (Chromium headless) can't reset @page counters cleanly.",Appendices get their own page-numbering — like 'Track A-1' on a vinyl record — so adding one doesn't renumber the whole document.,Outside (QA-gap-fill),68
Pull-Quote Typography,"Distinct from blockquote: 1.5-2× body size, display serif (Cormorant, Playfair) in italic or roman, color tinted to accent (often coral or sage), framed by a left rule or large open-quote glyph (U+201C set 2-3× quote size, color-tinted). May break the underlying column grid to span two columns.",Pull-quotes auto-promote a key sentence into a visual anchor; readers scanning the document land on the quote and absorb the thesis even without reading the body.,"Overuse weakens the device — one pull-quote per 2-3 spreads max; pull-quotes that don't appear in the body text confuse readers (they should be lifted, not invented); grid-breaking pull-quotes require manual flow review.","A pulled quote is louder than a regular blockquote — bigger, in italic, often with a colored stripe — like a poster pulled from the wall of an essay.",Outside (QA-gap-fill),68
Caption Typography,"figcaption, .caption { font-style: italic; font-size: 0.85em-0.875em; color: rgba(ink, 0.6); margin-top: 0.5em; max-width: same as figure }. Anchored to the figure's left edge; preferred max 2 lines; period-terminated only if a full sentence.",Captions visually defer to the figure they describe; consistent caption styling across a document signals editorial discipline without per-caption tuning.,Low contrast (60% ink) on warm-cream backgrounds can drift below WCAG 3:1 minimum for non-text — verify per palette; italic Cormorant at 0.85em becomes hard to read at distance.,"Captions whisper — italic, smaller, slightly faded — like the small print under a museum painting.",Outside (QA-gap-fill),68
Acronym First-Use Expansion,"First use: 'Special Purpose Entity (SPE)' — full term followed by acronym in parentheses; subsequent uses: bare acronym ('SPE'). For very long documents, reset at chapter boundary so a reader joining mid-document gets re-introduced. Track via glossary preprocessor or `<abbr title=""..."">` lint.",Auto-gen pipelines that track first-use produce reader-friendly documents without authoring overhead; new readers aren't lost in a sea of acronyms; older readers aren't condescended to with re-expansions.,"Tracking first-use across multi-author or stitched-together documents requires a glossary pass; chapter-reset rule needs explicit chapter boundaries; some acronyms (PDF, USA) are common enough to never expand.","First time you mention an acronym, spell it out and put the short form in parentheses — after that you can just use SPE.",Outside (QA-gap-fill),68
PDF/UA Tagged-Content Accessibility,"Emit PDF/UA-1 semantic structure tags (Document, Part, Sect, P, H1-H6, Figure, Table, TR, TH, TD, L, LI) so screen readers can navigate the document tree; alt-text required on every Figure; reading-order in the tag tree must match visual reading order. Validate with PAC 2024 or veraPDF.",Tagged PDF is legally required for many institutional/government deliverables; a single render-time setting unlocks accessibility for a whole document; tagged structure also improves Acrobat's reflow and copy-paste.,"Puppeteer/Chromium `printToPDF` does NOT emit tags as of 2026 — needs Prince, PDFreactor, or post-processing via pdfua/cpdf; tag-tree validation has a learning curve; alt-text authoring takes time.","A PDF can carry an invisible blueprint of its structure for screen readers — without it, the document is just a flat image to anyone who can't see it.",Outside (QA-gap-fill),71
